artist;album;album_release_date;album_ranking;n_tracks;track;track_duration (s)
Gloria Estefan;Mi Tierra;1993-06-03;18;12;Volverás;233
Gloria Estefan;Mi Tierra;1993-06-03;18;12;Montuno;296
Gloria Estefan;Mi Tierra;1993-06-03;18;12;Hablemos el Mismo Idioma;284
Gloria Estefan;Mi Tierra;1993-06-03;18;12;Hablas de Mi;220
Gloria Estefan;Mi Tierra;1993-06-03;18;12;Tradición;320
Gloria Trevi;Tu Angel De La Guarda;1991-07-23;19;12;Pelo Suelto;207
Gloria Trevi;Tu Angel De La Guarda;1991-07-23;19;12;Virgen de las Vírgenes;209
Gloria Trevi;Tu Angel De La Guarda;1991-07-23;19;12;Tu Ángel de la Guarda;240
Gloria Trevi;Tu Angel De La Guarda;1991-07-23;19;12;Jei! (Escucha);156
Gloria Trevi;Tu Angel De La Guarda;1991-07-23;19;12;Ya No!;211
Gloria Trevi;Tu Angel De La Guarda;1991-07-23;19;12;Jack El Reprobador;192
Gloria Trevi;Tu Angel De La Guarda;1991-07-23;19;12;Agárrate;181
Gloria Trevi;Tu Angel De La Guarda;1991-07-23;19;12;Hoy Me Iré de Casa;260
Gloria Trevi;Tu Angel De La Guarda;1991-07-23;19;12;La Pasabas Bien Conmigo;221
Gloria Trevi;Tu Angel De La Guarda;1991-07-23;19;12;La Primera Vez (Como Si Fuera);235
Gloria Trevi;Tu Angel De La Guarda;1991-07-23;19;12;Amor Apache;211
Gloria Trevi;Tu Angel De La Guarda;1991-07-23;19;12;Siempre Yo;211
Grupo Niche;Cielo De Tambores;1988;20;14;Duele Más;339
Grupo Niche;Cielo De Tambores;1988;20;14;Hagamos Lo Que Diga El Corazón;303
Grupo Niche;Cielo De Tambores;1988;20;14;Una Aventura;316
Grupo Niche;Cielo De Tambores;1988;20;14;Mi Pueblo;320
Grupo Niche;Cielo De Tambores;1988;20;14;Cali Ají;277
Grupo Niche;Cielo De Tambores;1988;20;14;Mexico, Mexico;327
Grupo Niche;Cielo De Tambores;1988;20;14;Se Pareció Tanto a Ti;328
Grupo Niche;Cielo De Tambores;1988;20;14;La Negra No Quiere;346
Grupo Niche;Cielo De Tambores;1988;20;14;Nuestro Sueño;359
Grupo Niche;Cielo De Tambores;1988;20;14;Bar y Copas;258
Grupo Niche;Cielo De Tambores;1988;20;14;Sin Sentimientos;294
Grupo Niche;Cielo De Tambores;1988;20;14;Te Enseñare A Olvidar;310
Grupo Niche;Cielo De Tambores;1988;20;14;Atrevida;277
